Border,Date,Measure,Value,Average
US-Mexico Border,09/01/2019 12:00:00 AM,Personal Vehicle Passengers,11190572,10306316
US-Mexico Border,09/01/2019 12:00:00 AM,Personal Vehicles,6039555,5602145
US-Canada Border,09/01/2019 12:00:00 AM,Personal Vehicle Passengers,4284826,4495275
US-Mexico Border,09/01/2019 12:00:00 AM,Pedestrians,3983133,3918664
US-Canada Border,09/01/2019 12:00:00 AM,Personal Vehicles,2314728,2390303
US-Mexico Border,09/01/2019 12:00:00 AM,Trucks,514257,499214
US-Canada Border,09/01/2019 12:00:00 AM,Trucks,482147,448283
US-Mexico Border,09/01/2019 12:00:00 AM,Truck Containers Full,378751,370160
US-Canada Border,09/01/2019 12:00:00 AM,Truck Containers Full,378650,347938
US-Canada Border,09/01/2019 12:00:00 AM,Bus Passengers,171967,170121
US-Canada Border,09/01/2019 12:00:00 AM,Rail Containers Full,160742,155337
US-Mexico Border,09/01/2019 12:00:00 AM,Bus Passengers,148685,192510
US-Mexico Border,09/01/2019 12:00:00 AM,Truck Containers Empty,142892,133311
US-Canada Border,09/01/2019 12:00:00 AM,Truck Containers Empty,118166,113192
US-Canada Border,09/01/2019 12:00:00 AM,Rail Containers Empty,64791,61152
US-Canada Border,09/01/2019 12:00:00 AM,Pedestrians,58478,57007
US-Mexico Border,09/01/2019 12:00:00 AM,Rail Containers Empty,50725,47659
US-Mexico Border,09/01/2019 12:00:00 AM,Rail Containers Full,41532,36962
US-Canada Border,09/01/2019 12:00:00 AM,Train Passengers,27167,31248
US-Mexico Border,09/01/2019 12:00:00 AM,Buses,12262,11979
US-Canada Border,09/01/2019 12:00:00 AM,Buses,7422,7678
US-Canada Border,09/01/2019 12:00:00 AM,Trains,1862,1814
US-Mexico Border,09/01/2019 12:00:00 AM,Trains,979,891
US-Mexico Border,09/01/2019 12:00:00 AM,Train Passengers,266,886
US-Mexico Border,08/01/2019 12:00:00 AM,Personal Vehicle Passengers,11537921,10059995
US-Canada Border,08/01/2019 12:00:00 AM,Personal Vehicle Passengers,6501513,4094027
US-Mexico Border,08/01/2019 12:00:00 AM,Personal Vehicles,6102329,5502108
US-Mexico Border,08/01/2019 12:00:00 AM,Pedestrians,4125207,3877355
US-Canada Border,08/01/2019 12:00:00 AM,Personal Vehicles,3025266,2263310
US-Mexico Border,08/01/2019 12:00:00 AM,Trucks,549757,489105
US-Canada Border,08/01/2019 12:00:00 AM,Trucks,485797,440781
US-Mexico Border,08/01/2019 12:00:00 AM,Truck Containers Full,404725,363247
US-Canada Border,08/01/2019 12:00:00 AM,Truck Containers Full,372308,343064
US-Canada Border,08/01/2019 12:00:00 AM,Bus Passengers,251296,153886
US-Mexico Border,08/01/2019 12:00:00 AM,Bus Passengers,229383,185135
US-Canada Border,08/01/2019 12:00:00 AM,Rail Containers Full,165901,153224
US-Mexico Border,08/01/2019 12:00:00 AM,Truck Containers Empty,152731,129427
US-Canada Border,08/01/2019 12:00:00 AM,Truck Containers Empty,127516,110327
US-Canada Border,08/01/2019 12:00:00 AM,Pedestrians,90021,50404
US-Canada Border,08/01/2019 12:00:00 AM,Rail Containers Empty,69277,59527
US-Mexico Border,08/01/2019 12:00:00 AM,Rail Containers Empty,54648,46261
US-Canada Border,08/01/2019 12:00:00 AM,Train Passengers,44569,28584
US-Mexico Border,08/01/2019 12:00:00 AM,Rail Containers Full,43840,35587
US-Mexico Border,08/01/2019 12:00:00 AM,Buses,13061,11762
US-Canada Border,08/01/2019 12:00:00 AM,Buses,11126,6989
US-Canada Border,08/01/2019 12:00:00 AM,Trains,1960,1785
US-Mexico Border,08/01/2019 12:00:00 AM,Trains,1053,858
US-Mexico Border,08/01/2019 12:00:00 AM,Train Passengers,938,875
US-Mexico Border,07/01/2019 12:00:00 AM,Personal Vehicle Passengers,11627413,9668140
US-Canada Border,07/01/2019 12:00:00 AM,Personal Vehicle Passengers,6067261,3600719
US-Mexico Border,07/01/2019 12:00:00 AM,Personal Vehicles,6019013,5372881
US-Mexico Border,07/01/2019 12:00:00 AM,Pedestrians,4343673,3760776
US-Canada Border,07/01/2019 12:00:00 AM,Personal Vehicles,2886702,2107462
US-Mexico Border,07/01/2019 12:00:00 AM,Trucks,552492,473258
US-Canada Border,07/01/2019 12:00:00 AM,Trucks,478767,431284
US-Mexico Border,07/01/2019 12:00:00 AM,Truck Containers Full,401115,353780
US-Canada Border,07/01/2019 12:00:00 AM,Truck Containers Full,368547,336693
US-Mexico Border,07/01/2019 12:00:00 AM,Bus Passengers,247070,169651
US-Canada Border,07/01/2019 12:00:00 AM,Bus Passengers,219504,137481
US-Canada Border,07/01/2019 12:00:00 AM,Rail Containers Full,160538,151396
US-Mexico Border,07/01/2019 12:00:00 AM,Truck Containers Empty,157156,122495
US-Canada Border,07/01/2019 12:00:00 AM,Truck Containers Empty,120953,107670
US-Canada Border,07/01/2019 12:00:00 AM,Pedestrians,87714,41076
US-Canada Border,07/01/2019 12:00:00 AM,Rail Containers Empty,68925,57178
US-Mexico Border,07/01/2019 12:00:00 AM,Rail Containers Empty,54178,44282
US-Canada Border,07/01/2019 12:00:00 AM,Train Passengers,49054,23466
US-Mexico Border,07/01/2019 12:00:00 AM,Rail Containers Full,42309,33906
US-Mexico Border,07/01/2019 12:00:00 AM,Buses,13345,11367
US-Canada Border,07/01/2019 12:00:00 AM,Buses,9552,6348
US-Canada Border,07/01/2019 12:00:00 AM,Trains,1908,1754
US-Mexico Border,07/01/2019 12:00:00 AM,Trains,1028,815
US-Mexico Border,07/01/2019 12:00:00 AM,Train Passengers,871,876
US-Mexico Border,06/01/2019 12:00:00 AM,Personal Vehicle Passengers,11590003,9027519
US-Mexico Border,06/01/2019 12:00:00 AM,Personal Vehicles,6124800,5122241
US-Canada Border,06/01/2019 12:00:00 AM,Personal Vehicle Passengers,5407844,2998343
US-Mexico Border,06/01/2019 12:00:00 AM,Pedestrians,3931845,3703753
US-Canada Border,06/01/2019 12:00:00 AM,Personal Vehicles,2832881,1865656
US-Mexico Border,06/01/2019 12:00:00 AM,Trucks,533555,453159
US-Canada Border,06/01/2019 12:00:00 AM,Trucks,485867,413089
US-Mexico Border,06/01/2019 12:00:00 AM,Truck Containers Full,399640,338494
US-Canada Border,06/01/2019 12:00:00 AM,Truck Containers Full,366753,326673
US-Canada Border,06/01/2019 12:00:00 AM,Bus Passengers,202261,115888
US-Mexico Border,06/01/2019 12:00:00 AM,Bus Passengers,176567,167345
US-Canada Border,06/01/2019 12:00:00 AM,Rail Containers Full,153206,150792
US-Mexico Border,06/01/2019 12:00:00 AM,Truck Containers Empty,139565,116805
US-Canada Border,06/01/2019 12:00:00 AM,Truck Containers Empty,129434,100415
US-Canada Border,06/01/2019 12:00:00 AM,Pedestrians,66714,32530
US-Canada Border,06/01/2019 12:00:00 AM,Rail Containers Empty,62544,55389
US-Mexico Border,06/01/2019 12:00:00 AM,Rail Containers Empty,49346,42594
US-Mexico Border,06/01/2019 12:00:00 AM,Rail Containers Full,45091,30177
US-Canada Border,06/01/2019 12:00:00 AM,Train Passengers,44094,16590
US-Mexico Border,06/01/2019 12:00:00 AM,Buses,12979,10829
US-Canada Border,06/01/2019 12:00:00 AM,Buses,8975,5472
US-Canada Border,06/01/2019 12:00:00 AM,Trains,2162,1618
US-Mexico Border,06/01/2019 12:00:00 AM,Trains,964,766
US-Mexico Border,06/01/2019 12:00:00 AM,Train Passengers,851,884
US-Mexico Border,05/01/2019 12:00:00 AM,Personal Vehicle Passengers,11161555,7960500
US-Mexico Border,05/01/2019 12:00:00 AM,Personal Vehicles,6087007,4639858
US-Canada Border,05/01/2019 12:00:00 AM,Personal Vehicle Passengers,4209007,2393011
US-Mexico Border,05/01/2019 12:00:00 AM,Pedestrians,4144485,3483386
US-Canada Border,05/01/2019 12:00:00 AM,Personal Vehicles,2301064,1647952
US-Mexico Border,05/01/2019 12:00:00 AM,Trucks,576724,391377
US-Canada Border,05/01/2019 12:00:00 AM,Trucks,507425,365921
US-Mexico Border,05/01/2019 12:00:00 AM,Truck Containers Full,435491,289995
US-Canada Border,05/01/2019 12:00:00 AM,Truck Containers Full,385497,297260
US-Canada Border,05/01/2019 12:00:00 AM,Bus Passengers,190178,78742
US-Mexico Border,05/01/2019 12:00:00 AM,Bus Passengers,172481,164777
US-Canada Border,05/01/2019 12:00:00 AM,Rail Containers Full,159963,146207
US-Mexico Border,05/01/2019 12:00:00 AM,Truck Containers Empty,147259,101578
US-Canada Border,05/01/2019 12:00:00 AM,Truck Containers Empty,133736,83755
US-Canada Border,05/01/2019 12:00:00 AM,Rail Containers Empty,61553,52306
US-Mexico Border,05/01/2019 12:00:00 AM,Rail Containers Empty,52634,37574
US-Canada Border,05/01/2019 12:00:00 AM,Pedestrians,50586,23501
US-Mexico Border,05/01/2019 12:00:00 AM,Rail Containers Full,44885,22823
US-Canada Border,05/01/2019 12:00:00 AM,Train Passengers,30038,9866
US-Mexico Border,05/01/2019 12:00:00 AM,Buses,12562,9962
US-Canada Border,05/01/2019 12:00:00 AM,Buses,8174,4121
US-Canada Border,05/01/2019 12:00:00 AM,Trains,2090,1382
US-Mexico Border,05/01/2019 12:00:00 AM,Trains,987,655
US-Mexico Border,05/01/2019 12:00:00 AM,Train Passengers,958,847
US-Mexico Border,04/01/2019 12:00:00 AM,Personal Vehicle Passengers,10553135,5367865
US-Mexico Border,04/01/2019 12:00:00 AM,Personal Vehicles,5686170,3593546
US-Mexico Border,04/01/2019 12:00:00 AM,Pedestrians,4256803,2709969
US-Canada Border,04/01/2019 12:00:00 AM,Personal Vehicle Passengers,3760645,1025377
